,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.52,-28.7,290.83,89,98,5.49,PT,1589596765
1,Port Alfred,-33.59,26.89,287.59,79,17,2.68,ZA,1589596756
2,Port Moresby,-9.44,147.18,305.15,62,40,5.1,PG,1589596745
3,Ushuaia,-54.8,-68.3,278.15,80,75,2.6,AR,1589596686
4,Dikson,73.51,80.55,272.25,95,97,5.45,RU,1589596772
5,Kavaratti,10.57,72.64,298.72,92,100,8.43,IN,1589596834
6,Port Blair,11.67,92.75,302.8,76,100,6.31,IN,1589596633
7,Batemans Bay,-35.72,150.18,292.04,63,0,3.75,AU,1589597034
8,Charters Towers,-20.1,146.27,297.51,45,66,6.14,AU,1589597034
9,Tabas,33.6,56.92,297.66,19,0,1.35,IR,1589597034
10,Lüderitz,-26.65,15.16,286.15,82,0,3.1,NA,1589596762
11,Wanning,18.8,110.4,304.98,61,0,5.74,CN,1589596846
12,Avarua,-21.21,-159.78,300.15,83,75,5.7,CK,1589596762
13,Cherskiy,68.75,161.3,281.01,56,0,2.77,RU,1589596768
14,Hamina,60.57,27.2,274.26,74,99,1.5,FI,1589597035
15,Novoanninskiy,50.53,42.67,278.71,91,79,1.11,RU,1589597036
16,Kibala,9.11,18.35,300.43,65,57,2.81,TD,1589597036
17,St. George's,12.06,-61.75,301.15,78,40,7.7,GD,1589597036
18,Mataura,-46.19,168.86,285.89,61,0,0.39,NZ,1589596758
19,Pangai,-19.8,-174.35,301.15,61,20,1,TO,1589597036
20,Geraldton,-28.77,114.6,293.15,64,94,4.1,AU,1589596852
21,Rikitea,-23.12,-134.97,296.77,84,68,9.65,PF,1589596764
22,Arraial do Cabo,-22.97,-42.03,294.8,77,100,4.23,BR,1589596581
23,Yar-Sale,66.83,70.83,274.53,94,100,7.28,RU,1589597037
24,Codrington,-38.27,141.97,287.96,50,0,4.9,AU,1589596788
25,Puerto Madryn,-42.77,-65.04,293.12,50,71,7.57,AR,1589597038
26,Ozark,37.02,-93.21,290.37,95,100,2.03,US,1589597038
27,Cape Town,-33.93,18.42,282.15,100,67,1,ZA,1589596845
28,Ponta do Sol,32.67,-17.1,290.15,55,75,7.2,PT,1589596820
29,Sibolga,1.74,98.78,303.94,63,100,0.95,ID,1589596763
30,Leningradskiy,69.38,178.42,272.34,95,34,1.25,RU,1589596780
31,Jamestown,42.1,-79.24,288.15,100,90,3.6,US,1589596760
32,Faanui,-16.48,-151.75,301.4,73,0,3.24,PF,1589596762
33,Hithadhoo,-0.6,73.08,302.53,74,94,7.66,MV,1589596784
34,Longyearbyen,78.22,15.64,275.15,64,40,9.8,SJ,1589596874
35,Vaini,-21.2,-175.2,300.15,65,40,5.1,TO,1589596758
36,Puerto Colombia,10.99,-74.95,301.15,83,75,2.6,CO,1589597040
37,Umm Kaddadah,13.6,26.69,299.37,14,22,3.71,SD,1589597040
38,Butaritari,3.07,172.79,301.77,76,100,3.57,KI,1589596756
39,Hilo,19.73,-155.09,301.15,61,75,5.7,US,1589596767
40,Gawler,-34.6,138.73,290.37,49,0,1.79,AU,1589597041
41,Talnakh,69.49,88.4,276.15,69,43,7,RU,1589596782
42,Ekenäs,59.97,23.43,277.59,95,100,3.7,FI,1589597041
43,Albany,42.6,-73.97,290.37,87,100,0.45,US,1589596517
44,Ergani,38.27,39.76,287.15,66,17,1,TR,1589597042
45,Ilulissat,69.22,-51.1,272.15,100,0,3.6,GL,1589596877
46,Hewitt,31.46,-97.2,297.15,78,1,3.6,US,1589597042
47,Severo-Kuril'sk,50.68,156.12,276.64,81,87,1.74,RU,1589596765
48,Nikolskoye,59.7,30.79,275.15,87,100,1,RU,1589596797
49,Plainview,40.78,-73.47,295.37,68,20,7.2,US,1589596968
50,Upernavik,72.79,-56.15,272.88,98,100,5.86,GL,1589596782
51,Norman Wells,65.28,-126.83,274.15,86,90,8.7,CA,1589596813
52,Hirado,33.36,129.55,295.15,94,75,1.5,JP,1589597043
53,Mar del Plata,-38,-57.56,287.59,87,0,5.1,AR,1589596623
54,Olinda,-8.01,-34.86,298.15,88,75,1,BR,1589596873
55,Grand Gaube,-20.01,57.66,294.82,81,0,1.79,MU,1589596783
56,Khingansk,49.12,131.18,296.72,25,1,0.82,RU,1589597044
57,Qaanaaq,77.48,-69.36,267.44,92,0,0.83,GL,1589596763
58,Tshikapa,-6.42,20.8,293.62,70,4,0.82,CD,1589597044
59,Kozhevnikovo,56.26,83.97,293.15,63,41,7.6,RU,1589597045
60,Kapaa,22.08,-159.32,300.15,74,20,4.6,US,1589596757
61,Tiarei,-17.53,-149.33,302.04,78,75,4.6,PF,1589597045
62,Yellowknife,62.46,-114.35,273.15,84,90,2.1,CA,1589596724
63,Saint-Philippe,-21.36,55.77,296.15,60,90,3.1,RE,1589596782
64,Hasaki,35.73,140.83,295.37,82,75,7.2,JP,1589596794
65,Punta Arenas,-53.15,-70.92,278.15,93,90,3.6,CL,1589596760
66,Lebu,-37.62,-73.65,286.29,94,74,2.29,CL,1589596767
67,Hermanus,-34.42,19.23,286.87,78,56,2.92,ZA,1589596793
68,Teahupoo,-17.83,-149.27,302.04,78,75,4.6,PF,1589597047
69,Bairiki Village,1.33,172.98,304.15,70,20,4.1,KI,1589597047
70,Bredasdorp,-34.53,20.04,281.15,81,47,1,ZA,1589596765
71,Saint-Leu,-21.15,55.28,296.15,64,90,2.6,RE,1589597047
72,Acapulco de Juárez,16.86,-99.89,301.15,74,40,3.6,MX,1589597048
73,Clyde River,70.47,-68.59,265.15,100,90,4.1,CA,1589596774
74,Agde,43.31,3.48,287.04,93,58,1.5,FR,1589597048
75,Boundiali,9.52,-6.49,297.8,73,82,1.14,CI,1589597048
76,La Ronge,55.1,-105.28,283.15,34,40,3.6,CA,1589596830
77,Egvekinot,66.32,-179.17,270.82,96,10,5.69,RU,1589596848
78,Galashki,43.11,44.99,286.15,93,56,1,RU,1589597049
79,Yura,-16.25,-71.68,286.95,36,10,0.77,PE,1589597049
80,Joshīmath,30.57,79.57,292.36,26,0,0.87,IN,1589597049
81,Roald,62.58,6.13,276.15,86,100,7.7,NO,1589596842
82,Touros,-5.2,-35.46,297.15,100,75,2.1,BR,1589596812
83,Bethel,41.37,-73.41,291.48,88,90,4.1,US,1589596651
84,Kahului,20.89,-156.47,302.15,58,40,9.8,US,1589596796
85,Olafsvik,64.89,-23.71,276.06,77,0,5.56,IS,1589596782
86,Kulhudhuffushi,6.62,73.07,301.57,80,100,7.92,MV,1589597051
87,New Norfolk,-42.78,147.06,288.15,71,60,2.24,AU,1589596760
88,Los Llanos de Aridane,28.66,-17.92,292.15,68,75,6.7,ES,1589597052
89,Jaciara,-15.97,-54.97,292.04,91,89,1.02,BR,1589597052
90,Pedernales,18.04,-71.74,299.19,71,31,4.28,DO,1589596792
91,Ljungby,56.83,13.94,279.26,93,85,5.1,SE,1589597052
