City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.92,41,93.0,90.0,8.05,CL,1589669430
Hithadhoo,-0.6,73.08,84.81,77.0,79.0,20.54,MV,1589669430
Norman Wells,65.28,-126.83,30.2,54.0,75.0,18.34,CA,1589669431
Bluff,-46.6,168.33,50.05,83.0,57.0,8.99,NZ,1589669431
Rikitea,-23.12,-134.97,77.07,84.0,100.0,9.01,PF,1589669431
São Filipe,14.9,-24.5,72.66,79.0,22.0,12.03,CV,1589669431
Port Alfred,-33.59,26.89,57.99,70.0,34.0,4.0,ZA,1589669431
Chokurdakh,70.63,147.92,26.44,97.0,0.0,8.28,RU,1589669422
Jamestown,42.1,-79.24,66.2,45.0,1.0,5.82,US,1589669193
Avarua,-21.21,-159.78,82.4,74.0,40.0,14.99,CK,1589669432
Saint-Philippe,-21.36,55.77,71.6,83.0,75.0,4.7,RE,1589669432
Saldanha,-33.01,17.94,50,76.0,44.0,3.36,ZA,1589669432
Airai,-8.93,125.41,63.99,100.0,44.0,4.21,TL,1589669432
Kapaa,22.08,-159.32,80.6,74.0,20.0,10.29,US,1589669433
Bredasdorp,-34.53,20.04,42.8,87.0,0.0,3.36,ZA,1589669424
Byron Bay,-28.65,153.62,61,87.0,66.0,11.41,AU,1589669433
George Town,5.41,100.34,80.01,94.0,40.0,4.7,MY,1589669433
Sitka,57.05,-135.33,62.6,51.0,40.0,14.99,US,1589669434
Isangel,-19.55,169.27,76.05,69.0,24.0,11.12,VU,1589669434
Lavrentiya,65.58,-171.0,31.32,96.0,16.0,8.1,RU,1589669434
Vaini,-21.2,-175.2,77,78.0,75.0,5.82,TO,1589669418
Jiujiang,29.73,115.98,76.39,80.0,20.0,3.74,CN,1589669434
Goundam,16.41,-3.67,94.01,13.0,23.0,12.88,ML,1589669434
Lagoa,39.05,-27.98,63.16,92.0,100.0,21.32,PT,1589669435
Faanui,-16.48,-151.75,82.04,75.0,20.0,8.81,PF,1589669435
Cairns,-16.92,145.77,73.4,73.0,75.0,11.41,AU,1589669241
Albany,42.6,-73.97,71.01,44.0,59.0,3.04,US,1589669404
Curup,-3.47,102.53,69.98,90.0,99.0,2.71,ID,1589669435
Ushuaia,-54.8,-68.3,42.8,75.0,40.0,8.05,AR,1589669436
Clyde River,70.47,-68.59,26.6,79.0,1.0,5.82,CA,1589669436
Progreso,21.28,-89.67,102.99,29.0,20.0,6.93,MX,1589669436
Olinda,-8.01,-34.86,77,94.0,40.0,2.24,BR,1589669436
Hermanus,-34.42,19.23,55.99,74.0,0.0,3.83,ZA,1589669436
Mataura,-46.19,168.86,50.41,64.0,0.0,1.88,NZ,1589669437
Arlit,18.74,7.39,90.5,12.0,34.0,4.94,NE,1589669437
Algiers,36.75,3.04,60.8,93.0,40.0,1.12,DZ,1589669258
Port Elizabeth,-33.92,25.57,48.2,93.0,1.0,5.82,ZA,1589669437
Davila,18.47,120.58,80.6,78.0,75.0,5.82,PH,1589669437
Ilulissat,69.22,-51.1,30.2,92.0,0.0,2.24,GL,1589669438
Bengkulu,-3.8,102.27,77.63,83.0,100.0,4.45,ID,1589669438
Katsuura,35.13,140.3,71.01,76.0,86.0,2.64,JP,1589669438
Busselton,-33.65,115.33,50,57.0,100.0,7.0,AU,1589669421
Butaritari,3.07,172.79,83.66,77.0,0.0,14.34,KI,1589669435
Chanute,37.68,-95.46,73.99,69.0,20.0,5.82,US,1589669439
Terrace Bay,48.78,-87.1,46.33,71.0,98.0,2.55,CA,1589669439
São João da Barra,-21.64,-41.05,69.46,86.0,94.0,4.59,BR,1589669439
Upernavik,72.79,-56.15,30.61,97.0,7.0,11.03,GL,1589669439
Saskylakh,71.92,114.08,33.35,96.0,95.0,3.51,RU,1589669440
Taksimo,56.34,114.88,41.27,86.0,100.0,1.21,RU,1589669440
Payson,40.04,-111.73,68,24.0,90.0,6.93,US,1589669181
Cape Town,-33.93,18.42,50,87.0,16.0,1.12,ZA,1589669440
Tombouctou,20.0,-3.0,86.97,15.0,0.0,9.95,ML,1589669440
Ponta Delgada,37.73,-25.67,62.6,93.0,75.0,9.17,PT,1589669441
Mabaruma,8.2,-59.78,77.45,87.0,97.0,4.92,GY,1589669441
Qaanaaq,77.48,-69.36,28.6,93.0,0.0,1.54,GL,1589669012
Lebu,-37.62,-73.65,57.63,96.0,94.0,6.11,CL,1589669441
Borovskoy,53.8,64.15,57.58,75.0,85.0,6.71,KZ,1589669441
Łapy,52.99,22.88,46.99,68.0,72.0,35.01,PL,1589669442
Saint Paul Harbor,57.79,-152.41,50,81.0,90.0,5.82,US,1589669442
Bougouni,11.42,-7.48,92.5,31.0,54.0,3.94,ML,1589669442
